species,SpecID,Region,Station,Basin,Latitude,Longitude,Depth,Year,Month,Day,sal_mean,sal_med,sal_q25,sal_q75,sal_min,sal_max,Mg,Sr,Ba,S,Li,Pb,Zn,Mn,noaa.lat,noaa.long,winter,spring,summer,fall,meanT,size
Encope aberrans,ap-15.1,Northern Gulf,AP-15,Gulf of Mexico,29.61218,-84.37015,20.7,2020,11,9,30.69084249,31,28.9,32.7,23.5,37.2,133.595,2.434,0.0121,10.88,0.068,0.214,0.0086,0.144,29.55,-84.55,18.261,22.31,31.213,23.694,23.8695,11.84
Leodia sexiesperforata,fk-17.9,Florida Keys,FK-17,Atlantic,24.81612,-80.73525,6.1,2021,1,23,33.71607692,36.295,35.765,36.765,1.365,38.1,170.06,2.5967,0.011,11.486,0.0688,0.546,0.025,0.052,24.85,-80.75,24.33,27.126,30.323,26.012,26.94775,9.51
Leodia sexiesperforata,fk-3.1,Florida Keys,FK-3,Atlantic,24.78605,-80.88287,1.8,2020,8,26,33.51530769,36.31,34.9,36.8,1.54,38.4,176.242,2.5895,0.02,11.351,0.071,0.257,0.047,0.038,24.75,-80.95,26.11,25.016,28.825,26.012,26.49075,7
Leodia sexiesperforata,fk-9.8,Florida Keys,FK-9,Atlantic,24.74689,-80.79453,8.2,2020,8,28,33.195,36.1375,35.8,36.3,0.395,36.84,167.766,2.4909,0.006,10.876,0.068,0.33,0.011,0.032,24.65,-80.75,23.823,27.126,30.323,26.012,26.821,8.42
Leodia sexiesperforata,fk-17.11,Florida Keys,FK-17,Atlantic,24.81612,-80.73525,6.1,2021,1,23,33.71607692,36.295,35.765,36.765,1.365,38.1,173.983,2.503,0.008,11.34,0.07,0.214,0.015,0.022,24.85,-80.75,24.33,27.126,30.323,26.012,26.94775,8.5
Leodia sexiesperforata,fk-3.3,Florida Keys,FK-3,Atlantic,24.78605,-80.88287,1.8,2020,8,26,33.51530769,36.31,34.9,36.8,1.54,38.4,168.656,2.4839,0.019,12.214,0.07,0.233,0.007,0.024,24.75,-80.95,26.11,25.016,28.825,26.012,26.49075,8.67
Encope michelini,fk-9.1,Florida Keys,FK-9,Atlantic,24.74689,-80.79453,8.2,2020,8,28,33.195,36.1375,35.8,36.3,0.395,36.84,138.532,2.3582,0.004,10.582,0.062,0.113,0.005,0.014,24.65,-80.75,23.823,27.126,30.323,26.012,26.821,7.78
Encope michelini,ap-8.7,Northern Gulf,AP-8,Gulf of Mexico,29.8427,-84.27122,11,2019,8,14,30.79208145,31.1,29.5,32.6,23.5,37.2,135.494,2.3732,0.007,9.743,0.06,0.302,0.012,0.047,29.75,-84.65,18.187,23.446,30.85,23.46,23.98575,NA
Leodia sexiesperforata,fk-3.4,Florida Keys,FK-3,Atlantic,24.78605,-80.88287,1.8,2020,8,26,33.51530769,36.31,34.9,36.8,1.54,38.4,166.277,2.4702,0.017,11.306,0.07,0.194,0.065,0.017,24.75,-80.95,26.11,25.016,28.825,26.012,26.49075,7.7
Leodia sexiesperforata,fk-9.2,Florida Keys,FK-9,Atlantic,24.74689,-80.79453,8.2,2020,8,28,33.195,36.1375,35.8,36.3,0.395,36.84,167.438,2.5541,0.007,10.472,0.07,0.181,0.006,0.022,24.65,-80.75,23.823,27.126,30.323,26.012,26.821,9.2
